idx,pair,side,entry_time,exit_time,entry,exit_price,initial_sl,initial_tp,lot,pnl,pnl_pct,confidence,signal_reason,regime,session,exit_reason,duration_bars,mfe,mae,balance_after
53,XAUUSD,buy,2025-03-13T13:00:00+00:00,2025-03-13T13:30:00+00:00,2942.305,2951.89879,2936.54873,2951.89879,0.16,153.5,1.64,0.62,Pullback to EMA21 in uptrend · RSI 48.1,trending_up,london,tp_hit,2,157.44,-6.99,9514.7
54,XAUUSD,buy,2025-03-13T13:45:00+00:00,2025-03-13T14:30:00+00:00,2950.125,2960.40185,2943.95889,2960.40185,0.15,154.15,1.62,0.62,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 60.6",trending_up,london,tp_hit,3,238.05,-6.99,9668.86
55,XAUUSD,buy,2025-03-13T14:45:00+00:00,2025-03-13T16:30:00+00:00,2969.735,2982.00238,2962.37457,2982.00238,0.13,159.48,1.649,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 78.5",trending_up,london,tp_hit,7,199.42,-45.98,9828.33
56,XAUUSD,buy,2025-03-13T16:45:00+00:00,2025-03-14T04:00:00+00:00,2979.935,2993.42931,2971.83841,2993.42931,0.12,161.93,1.648,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 74.9",trending_up,london,tp_hit,41,166.8,-45.24,9990.26
57,XAUUSD,buy,2025-03-14T04:15:00+00:00,2025-03-14T04:45:00+00:00,2991.238,2986.40761,2986.40761,2999.28866,0.2,-96.61,-0.967,0.63,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 61.5",trending_up,london,sl_hit,2,0.0,-141.6,9893.66
58,XAUUSD,buy,2025-03-14T05:45:00+00:00,2025-03-14T06:15:00+00:00,2986.135,2981.13984,2981.13984,2994.46027,0.19,-94.91,-0.959,0.62,Pullback to EMA21 in uptrend · RSI 50.7,trending_up,london,sl_hit,2,0.0,-97.57,9798.75
59,XAUUSD,buy,2025-03-14T06:30:00+00:00,2025-03-14T08:15:00+00:00,2984.535,2992.80079,2979.57553,2992.80079,0.19,157.05,1.603,0.62,Pullback to EMA21 in uptrend · RSI 48.2,trending_up,london,tp_hit,7,157.13,-67.16,9955.8
60,XAUUSD,buy,2025-03-14T08:30:00+00:00,2025-03-14T09:30:00+00:00,2990.375,2998.90758,2985.25545,2998.90758,0.19,162.12,1.628,0.61,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 58.8",trending_up,london,tp_hit,4,165.68,-3.93,10117.92
61,XAUUSD,buy,2025-03-14T09:45:00+00:00,2025-03-14T10:30:00+00:00,2998.595,2993.80101,2993.80101,3006.58498,0.21,-100.67,-0.995,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 69.7",trending_up,london,sl_hit,3,128.73,-238.71,10017.24
62,XAUUSD,buy,2025-03-14T10:45:00+00:00,2025-03-14T13:30:00+00:00,2993.125,2986.4619,2986.4619,3004.23017,0.15,-99.95,-0.998,0.62,Pullback to EMA21 in uptrend · RSI 53.0,trending_up,london,sl_hit,11,94.35,-150.41,9917.3
63,XAUUSD,buy,2025-03-14T14:00:00+00:00,2025-03-14T14:15:00+00:00,2990.705,2982.5681,2982.5681,3004.26649,0.12,-97.64,-0.985,0.62,Pullback to EMA21 in uptrend · RSI 48.0,trending_up,london,sl_hit,1,29.4,-106.39,9819.65
64,XAUUSD,buy,2025-03-14T16:45:00+00:00,2025-03-14T19:30:00+00:00,2989.498,2982.27258,2982.27258,3001.54036,0.13,-93.93,-0.957,0.53,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 51.5",ranging,london,sl_hit,11,10.23,-97.41,9725.72
65,XAUUSD,sell,2025-03-14T19:45:00+00:00,2025-03-16T22:00:00+00:00,2983.775,2988.84099,2988.84099,2975.33169,0.19,-96.25,-0.99,0.55,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 43.5",ranging,london,sl_hit,5,40.85,-127.3,9629.47
66,XAUUSD,buy,2025-03-16T23:15:00+00:00,2025-03-17T00:00:00+00:00,2993.815,2988.65713,2988.65713,3002.41144,0.18,-92.84,-0.964,0.73,EMA(21)↑55 cross · RSI 61.4 · regime ranging,ranging,london,sl_hit,3,1.62,-106.02,9536.63
67,XAUUSD,buy,2025-03-17T00:15:00+00:00,2025-03-17T04:15:00+00:00,2989.085,2984.16405,2984.16405,2997.28658,0.19,-93.5,-0.98,0.53,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 51.9",ranging,london,sl_hit,16,72.39,-107.54,9443.13
68,XAUUSD,sell,2025-03-17T04:30:00+00:00,2025-03-17T06:15:00+00:00,2983.688,2987.52304,2987.52304,2977.29626,0.24,-92.04,-0.975,0.59,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 36.4",ranging,london,sl_hit,7,41.11,-154.97,9351.09
69,XAUUSD,sell,2025-03-17T07:30:00+00:00,2025-03-17T09:00:00+00:00,2986.325,2989.79926,2989.79926,2980.53456,0.26,-90.33,-0.966,0.54,"Trend-follow (EMA21<EMA55, close<EMA21) · RSI 46.9",ranging,london,sl_hit,6,88.14,-115.96,9260.76
70,XAUUSD,buy,2025-03-17T09:15:00+00:00,2025-03-17T10:45:00+00:00,2992.625,2998.93089,2988.84146,2998.93089,0.24,151.34,1.634,0.77,EMA(21)↑55 cross · RSI 65.4 · regime ranging,ranging,london,tp_hit,6,160.08,-24.0,9412.1
71,XAUUSD,buy,2025-03-17T11:00:00+00:00,2025-03-17T11:45:00+00:00,3000.245,2996.5197,2996.5197,3006.45384,0.25,-93.13,-0.989,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 75.0",trending_up,london,sl_hit,3,20.75,-99.0,9318.97
72,XAUUSD,buy,2025-03-17T12:15:00+00:00,2025-03-17T12:45:00+00:00,2992.578,2987.34463,2987.34463,3001.30028,0.17,-88.97,-0.955,0.62,Pullback to EMA21 in uptrend · RSI 49.6,trending_up,london,sl_hit,2,19.84,-136.73,9230.0
73,XAUUSD,buy,2025-03-17T14:15:00+00:00,2025-03-18T02:45:00+00:00,2997.715,3008.3541,2991.33154,3008.3541,0.14,148.95,1.614,0.57,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 60.4",ranging,london,tp_hit,46,198.38,-70.52,9378.95
74,XAUUSD,buy,2025-03-18T03:00:00+00:00,2025-03-18T05:15:00+00:00,3013.135,3008.91741,3008.91741,3020.16431,0.22,-92.79,-0.989,0.67,"Trend-follow (EMA21>EMA55, close>EMA21) · RSI 82.7",trending_up,london,sl_hit,9,84.48,-160.31,9286.16
